dates,Close,Adj
1/2/1970,93,93
1/5/1970,93.46,93.46
1/6/1970,92.82,92.82
1/7/1970,92.63,92.63
1/8/1970,92.68,92.68
1/9/1970,92.4,92.4
1/12/1970,91.7,91.7
1/13/1970,91.79,91.79
1/14/1970,91.65,91.65
1/15/1970,91.68,91.68
1/16/1970,90.92,90.92
1/19/1970,89.65,89.65
1/20/1970,89.83,89.83
1/21/1970,89.91,89.91
1/22/1970,89.95,89.95
1/23/1970,89.07,89.07
1/26/1970,88.17,88.17
1/27/1970,87.62,87.62
1/28/1970,86.79,86.79
1/29/1970,85.69,85.69
1/30/1970,85.02,85.02
2/2/1970,85.75,85.75
2/3/1970,86.77,86.77
2/4/1970,86.24,86.24
2/5/1970,85.9,85.9
2/6/1970,86.33,86.33
2/9/1970,87.01,87.01
2/10/1970,86.1,86.1
2/11/1970,86.94,86.94
2/12/1970,86.73,86.73
2/13/1970,86.54,86.54
2/16/1970,86.47,86.47
2/17/1970,86.37,86.37
2/18/1970,87.44,87.44
2/19/1970,87.76,87.76
2/20/1970,88.03,88.03
2/24/1970,87.99,87.99
2/25/1970,89.35,89.35
2/26/1970,88.9,88.9
2/27/1970,89.5,89.5
3/2/1970,89.71,89.71
3/3/1970,90.23,90.23
3/4/1970,90.04,90.04
3/5/1970,90,90
3/6/1970,89.44,89.44
3/9/1970,88.51,88.51
3/10/1970,88.75,88.75
3/11/1970,88.69,88.69
3/12/1970,88.33,88.33
3/13/1970,87.86,87.86
3/16/1970,86.91,86.91
3/17/1970,87.29,87.29
3/18/1970,87.54,87.54
3/19/1970,87.42,87.42
3/20/1970,87.06,87.06
3/23/1970,86.99,86.99
3/24/1970,87.98,87.98
3/25/1970,89.77,89.77
3/26/1970,89.92,89.92
3/30/1970,89.63,89.63
3/31/1970,89.63,89.63
4/1/1970,90.07,90.07
4/2/1970,89.79,89.79
4/3/1970,89.39,89.39
4/6/1970,88.76,88.76
4/7/1970,88.52,88.52
4/8/1970,88.49,88.49
4/9/1970,88.53,88.53
4/10/1970,88.24,88.24
4/13/1970,87.64,87.64
4/14/1970,86.89,86.89
4/15/1970,86.73,86.73
4/16/1970,85.88,85.88
4/17/1970,85.67,85.67
4/20/1970,85.83,85.83
4/21/1970,85.38,85.38
4/22/1970,84.27,84.27
4/23/1970,83.04,83.04
4/24/1970,82.77,82.77
4/27/1970,81.46,81.46
4/28/1970,80.27,80.27
4/29/1970,81.81,81.81
4/30/1970,81.52,81.52
5/1/1970,81.44,81.44
5/4/1970,79,79
5/5/1970,78.6,78.6
5/6/1970,79.47,79.47
5/7/1970,79.83,79.83
5/8/1970,79.44,79.44
5/11/1970,78.6,78.6
5/12/1970,77.85,77.85
5/13/1970,76.53,76.53
5/14/1970,75.44,75.44
5/15/1970,76.9,76.9
5/18/1970,76.96,76.96
5/19/1970,75.46,75.46
5/20/1970,73.52,73.52
5/21/1970,72.16,72.16
5/22/1970,72.25,72.25
5/25/1970,70.25,70.25
5/26/1970,69.29,69.29
5/27/1970,72.77,72.77
5/28/1970,74.61,74.61
5/29/1970,76.55,76.55
6/1/1970,77.84,77.84
6/2/1970,77.84,77.84
6/3/1970,78.52,78.52
6/4/1970,77.36,77.36
6/5/1970,76.17,76.17
6/8/1970,76,76
6/9/1970,76.25,76.25
6/10/1970,75.48,75.48
6/11/1970,74.45,74.45
6/12/1970,74.21,74.21
6/15/1970,74.38,74.38
6/16/1970,76.15,76.15
6/17/1970,76,76
6/18/1970,76.51,76.51
6/19/1970,77.05,77.05
6/22/1970,76.64,76.64
6/23/1970,74.76,74.76
6/24/1970,73.97,73.97
6/25/1970,74.02,74.02
6/26/1970,73.47,73.47
6/29/1970,72.89,72.89
6/30/1970,72.72,72.72
7/1/1970,73.04,73.04
7/2/1970,72.92,72.92
7/6/1970,71.78,71.78
7/7/1970,71.23,71.23
7/8/1970,73,73
7/9/1970,74.06,74.06
7/10/1970,74.57,74.57
7/13/1970,74.48,74.48
7/14/1970,74.42,74.42
7/15/1970,75.23,75.23
7/16/1970,76.34,76.34
7/17/1970,77.69,77.69
7/20/1970,77.72,77.72
7/21/1970,76.98,76.98
7/22/1970,77.03,77.03
7/23/1970,78,78
7/24/1970,77.82,77.82
7/27/1970,77.65,77.65
7/28/1970,77.77,77.77
7/29/1970,78.04,78.04
7/30/1970,78.07,78.07
7/31/1970,78.05,78.05
8/3/1970,77.02,77.02
8/4/1970,77.19,77.19
8/5/1970,77.18,77.18
8/6/1970,77.08,77.08
8/7/1970,77.28,77.28
8/10/1970,76.2,76.2
8/11/1970,75.82,75.82
8/12/1970,75.42,75.42
8/13/1970,74.76,74.76
8/14/1970,75.18,75.18
8/17/1970,75.33,75.33
8/18/1970,76.2,76.2
8/19/1970,76.96,76.96
8/20/1970,77.64,77.64
8/21/1970,79.24,79.24
8/24/1970,80.99,80.99
8/25/1970,81.12,81.12
8/26/1970,81.21,81.21
8/27/1970,81.08,81.08
8/28/1970,81.86,81.86
8/31/1970,81.52,81.52
9/1/1970,80.95,80.95
9/2/1970,80.96,80.96
9/3/1970,82.09,82.09
9/4/1970,82.83,82.83
9/8/1970,83.04,83.04
9/9/1970,82.79,82.79
9/10/1970,82.3,82.3
9/11/1970,82.52,82.52
9/14/1970,82.07,82.07
9/15/1970,81.36,81.36
9/16/1970,81.79,81.79
9/17/1970,82.29,82.29
9/18/1970,82.62,82.62
9/21/1970,81.91,81.91
9/22/1970,81.66,81.66
9/23/1970,82.83,82.83
9/24/1970,83.91,83.91
9/25/1970,83.97,83.97
9/28/1970,83.86,83.86
9/29/1970,84.3,84.3
9/30/1970,84.21,84.21
10/1/1970,84.32,84.32
10/2/1970,85.16,85.16
10/5/1970,86.47,86.47
10/6/1970,86.85,86.85
10/7/1970,86.89,86.89
10/8/1970,85.95,85.95
10/9/1970,85.08,85.08
10/12/1970,84.17,84.17
10/13/1970,84.06,84.06
10/14/1970,84.19,84.19
10/15/1970,84.65,84.65
10/16/1970,84.28,84.28
10/19/1970,83.15,83.15
10/20/1970,83.64,83.64
10/21/1970,83.66,83.66
10/22/1970,83.38,83.38
10/23/1970,83.77,83.77
10/26/1970,83.31,83.31
10/27/1970,83.12,83.12
10/28/1970,83.43,83.43
10/29/1970,83.36,83.36
10/30/1970,83.25,83.25
11/2/1970,83.51,83.51
11/3/1970,84.22,84.22
11/4/1970,84.39,84.39
11/5/1970,84.1,84.1
11/6/1970,84.22,84.22
11/9/1970,84.67,84.67
11/10/1970,84.79,84.79
11/11/1970,85.03,85.03
11/12/1970,84.15,84.15
11/13/1970,83.37,83.37
11/16/1970,83.24,83.24
11/17/1970,83.34,83.34
11/18/1970,82.79,82.79
11/19/1970,82.91,82.91
11/20/1970,83.72,83.72
11/23/1970,84.24,84.24
11/24/1970,84.78,84.78
11/25/1970,85.09,85.09
11/27/1970,85.93,85.93
11/30/1970,87.2,87.2
12/1/1970,87.47,87.47
12/2/1970,88.48,88.48
12/3/1970,88.9,88.9
12/4/1970,89.46,89.46
12/7/1970,89.94,89.94
12/8/1970,89.47,89.47
12/9/1970,89.54,89.54
12/10/1970,89.92,89.92
12/11/1970,90.26,90.26
12/14/1970,89.8,89.8
12/15/1970,89.66,89.66
12/16/1970,89.72,89.72
12/17/1970,90.04,90.04
12/18/1970,90.22,90.22
12/21/1970,89.94,89.94
12/22/1970,90.04,90.04
12/23/1970,90.1,90.1
12/24/1970,90.61,90.61
12/28/1970,91.09,91.09
12/29/1970,92.08,92.08
12/30/1970,92.27,92.27
12/31/1970,92.15,92.15
1/4/1971,91.15,91.15
1/5/1971,91.8,91.8
1/6/1971,92.35,92.35
1/7/1971,92.38,92.38
1/8/1971,92.19,92.19
1/11/1971,91.98,91.98
1/12/1971,92.72,92.72
1/13/1971,92.56,92.56
1/14/1971,92.8,92.8
1/15/1971,93.03,93.03
1/18/1971,93.41,93.41
1/19/1971,93.76,93.76
1/20/1971,93.78,93.78
1/21/1971,94.19,94.19
1/22/1971,94.88,94.88
1/25/1971,95.28,95.28
1/26/1971,95.59,95.59
1/27/1971,94.89,94.89
1/28/1971,95.21,95.21
1/29/1971,95.88,95.88
2/1/1971,96.42,96.42
2/2/1971,96.43,96.43
2/3/1971,96.63,96.63
2/4/1971,96.62,96.62
2/5/1971,96.93,96.93
2/8/1971,97.45,97.45
2/9/1971,97.51,97.51
2/10/1971,97.39,97.39
2/11/1971,97.91,97.91
2/12/1971,98.43,98.43
2/16/1971,98.66,98.66
2/17/1971,98.2,98.2
2/18/1971,97.56,97.56
2/19/1971,96.74,96.74
2/22/1971,95.72,95.72
2/23/1971,96.09,96.09
2/24/1971,96.73,96.73
2/25/1971,96.92,96.92
2/26/1971,96.75,96.75
3/1/1971,97,97
3/2/1971,96.98,96.98
3/3/1971,96.95,96.95
3/4/1971,97.92,97.92
3/5/1971,98.96,98.96
3/8/1971,99.38,99.38
3/9/1971,99.46,99.46
3/10/1971,99.3,99.3
3/11/1971,99.39,99.39
3/12/1971,99.57,99.57
3/15/1971,100.71,100.71
3/16/1971,101.21,101.21
3/17/1971,101.12,101.12
3/18/1971,101.19,101.19
3/19/1971,101.01,101.01
3/22/1971,100.62,100.62
3/23/1971,100.28,100.28
3/24/1971,99.62,99.62
3/25/1971,99.61,99.61
3/26/1971,99.95,99.95
3/29/1971,100.03,100.03
3/30/1971,100.26,100.26
3/31/1971,100.31,100.31
4/1/1971,100.39,100.39
4/2/1971,100.56,100.56
4/5/1971,100.79,100.79
4/6/1971,101.51,101.51
4/7/1971,101.98,101.98
4/8/1971,102.1,102.1
4/12/1971,102.88,102.88
4/13/1971,102.98,102.98
4/14/1971,103.37,103.37
4/15/1971,103.52,103.52
4/16/1971,103.49,103.49
4/19/1971,104.01,104.01
4/20/1971,103.61,103.61
4/21/1971,103.36,103.36
4/22/1971,103.56,103.56
4/23/1971,104.05,104.05
4/26/1971,103.94,103.94
4/27/1971,104.39,104.39
4/28/1971,104.77,104.77
4/29/1971,104.63,104.63
4/30/1971,103.95,103.95
5/3/1971,103.29,103.29
5/4/1971,103.79,103.79
5/5/1971,103.78,103.78
5/6/1971,103.23,103.23
5/7/1971,102.87,102.87
5/10/1971,102.36,102.36
5/11/1971,102.62,102.62
5/12/1971,102.9,102.9
5/13/1971,102.69,102.69
5/14/1971,102.21,102.21
5/17/1971,100.69,100.69
5/18/1971,100.83,100.83
5/19/1971,101.07,101.07
5/20/1971,101.31,101.31
5/21/1971,100.99,100.99
5/24/1971,100.13,100.13
5/25/1971,99.47,99.47
5/26/1971,99.59,99.59
5/27/1971,99.4,99.4
5/28/1971,99.63,99.63
6/1/1971,100.2,100.2
6/2/1971,100.96,100.96
6/3/1971,101.01,101.01
6/4/1971,101.3,101.3
6/7/1971,101.14,101.14
6/8/1971,100.32,100.32
6/9/1971,100.29,100.29
6/10/1971,100.64,100.64
6/11/1971,101.07,101.07
6/14/1971,100.22,100.22
6/15/1971,100.32,100.32
6/16/1971,100.52,100.52
6/17/1971,100.5,100.5
6/18/1971,98.97,98.97
6/21/1971,97.87,97.87
6/22/1971,97.59,97.59
6/23/1971,98.41,98.41
6/24/1971,98.17,98.17
6/25/1971,97.99,97.99
6/28/1971,97.74,97.74
6/29/1971,98.82,98.82
6/30/1971,99.7,99.7
7/1/1971,99.78,99.78
7/2/1971,99.78,99.78
7/6/1971,99.76,99.76
7/7/1971,100.04,100.04
7/8/1971,100.34,100.34
7/9/1971,100.69,100.69
7/12/1971,100.82,100.82
7/13/1971,99.5,99.5
7/14/1971,99.22,99.22
7/15/1971,99.28,99.28
7/16/1971,99.11,99.11
7/19/1971,98.93,98.93
7/20/1971,99.32,99.32
7/21/1971,99.28,99.28
7/22/1971,99.11,99.11
7/23/1971,98.94,98.94
7/26/1971,98.67,98.67
7/27/1971,97.78,97.78
7/28/1971,97.07,97.07
7/29/1971,96.02,96.02
7/30/1971,95.58,95.58
8/2/1971,95.96,95.96
8/3/1971,94.51,94.51
8/4/1971,93.89,93.89
8/5/1971,94.09,94.09
8/6/1971,94.25,94.25
8/9/1971,93.53,93.53
8/10/1971,93.54,93.54
8/11/1971,94.66,94.66
8/12/1971,96,96
8/13/1971,95.69,95.69
8/16/1971,98.76,98.76
8/17/1971,99.99,99.99
