dates,ret_5_yr_daily,ret_10_yr_daily,bps_credit_aaa,bps_credit_baa,spread_aaa.minus.baa
11/3/1986,6.702,7.275,8.7,10.1,1.4
11/4/1986,6.702,7.28,8.72,10.09,1.37
11/5/1986,6.732,7.243,8.71,10.06,1.35
11/6/1986,6.784,7.323,8.74,10.09,1.35
11/7/1986,6.905,7.44,8.79,10.13,1.34
11/10/1986,6.845,7.332,8.79,10.14,1.35
11/12/1986,6.808,7.305,8.78,10.11,1.33
11/13/1986,6.815,7.314,8.76,10.11,1.35
11/14/1986,6.778,7.261,8.73,10.11,1.38
11/17/1986,6.733,7.203,8.67,10.07,1.4
11/18/1986,6.771,7.247,8.67,10.07,1.4
11/19/1986,6.681,7.15,8.66,10.05,1.39
11/20/1986,6.741,7.207,8.63,10.02,1.39
11/21/1986,6.696,7.15,8.62,10.01,1.39
11/24/1986,6.674,7.088,8.58,9.99,1.41
11/25/1986,6.68,7.154,8.54,9.99,1.45
11/26/1986,6.665,7.127,8.54,9.99,1.45
11/28/1986,6.665,7.136,8.53,10,1.47
12/1/1986,6.687,7.14,8.55,10,1.45
12/2/1986,6.608,7.074,8.54,10,1.46
12/3/1986,6.593,7.057,8.52,9.98,1.46
12/4/1986,6.529,6.969,8.51,9.97,1.46
12/5/1986,6.629,7.092,8.47,9.94,1.47
12/8/1986,6.593,7.043,8.46,9.98,1.52
12/9/1986,6.593,7.056,8.47,9.97,1.5
12/10/1986,6.579,7.034,8.48,9.95,1.47
12/11/1986,6.622,7.082,8.48,9.95,1.47
12/12/1986,6.651,7.118,8.5,9.98,1.48
12/15/1986,6.687,7.135,8.52,9.98,1.46
12/16/1986,6.658,7.108,8.51,9.97,1.46
12/17/1986,6.672,7.1,8.51,9.98,1.47
12/18/1986,6.701,7.091,8.52,9.98,1.46
12/19/1986,6.686,7.082,8.5,9.95,1.45
12/22/1986,6.686,7.073,8.49,9.99,1.5
12/23/1986,6.679,7.068,8.47,9.99,1.52
12/24/1986,6.679,7.068,8.46,9.98,1.52
12/26/1986,6.679,7.064,8.44,9.96,1.52
12/29/1986,6.803,7.179,8.45,9.92,1.47
12/30/1986,6.811,7.201,8.5,9.98,1.48
12/31/1986,6.811,7.223,8.53,9.99,1.46
1/2/1987,6.73,7.134,8.49,9.97,1.48
1/5/1987,6.671,7.054,8.44,9.9,1.46
1/6/1987,6.664,7.063,8.41,9.86,1.45
1/7/1987,6.591,7.001,8.4,9.82,1.42
1/8/1987,6.62,7.054,8.37,9.76,1.39
1/9/1987,6.569,6.992,8.36,9.74,1.38
1/12/1987,6.62,7.054,8.34,9.72,1.38
1/13/1987,6.642,7.08,8.32,9.72,1.4
1/14/1987,6.649,7.089,8.32,9.72,1.4
1/15/1987,6.634,7.054,8.34,9.69,1.35
1/16/1987,6.59,7.014,8.34,9.67,1.33
1/20/1987,6.561,7.001,8.33,9.64,1.31
1/21/1987,6.561,6.983,8.3,9.64,1.34
1/22/1987,6.561,7.005,8.29,9.64,1.35
1/23/1987,6.605,7.093,8.32,9.64,1.32
1/26/1987,6.649,7.133,8.33,9.67,1.34
1/27/1987,6.649,7.133,8.4,9.68,1.28
1/28/1987,6.627,7.115,8.4,9.7,1.3
1/29/1987,6.641,7.115,8.37,9.68,1.31
1/30/1987,6.701,7.178,8.36,9.68,1.32
2/2/1987,6.73,7.2,8.38,9.68,1.3
2/3/1987,6.745,7.218,8.39,9.65,1.26
2/4/1987,6.753,7.223,8.39,9.67,1.28
2/5/1987,6.664,7.133,8.39,9.63,1.24
2/6/1987,6.708,7.169,8.36,9.61,1.25
2/9/1987,6.775,7.223,8.35,9.61,1.26
2/10/1987,6.858,7.304,8.39,9.65,1.26
2/11/1987,6.895,7.313,8.41,9.69,1.28
2/12/1987,6.79,7.232,8.42,9.68,1.26
2/13/1987,6.828,7.268,8.39,9.67,1.28
2/17/1987,6.836,7.277,8.42,9.68,1.26
2/18/1987,6.798,7.259,8.42,9.68,1.26
2/19/1987,6.738,7.204,8.4,9.66,1.26
2/20/1987,6.776,7.241,8.37,9.67,1.3
2/23/1987,6.753,7.204,8.39,9.66,1.27
2/24/1987,6.738,7.191,8.37,9.64,1.27
2/25/1987,6.767,7.218,8.35,9.62,1.27
2/26/1987,6.745,7.186,8.35,9.64,1.29
2/27/1987,6.709,7.159,8.36,9.62,1.26
3/2/1987,6.687,7.15,8.34,9.63,1.29
3/3/1987,6.716,7.186,8.33,9.62,1.29
3/4/1987,6.665,7.114,8.36,9.6,1.24
3/5/1987,6.687,7.137,8.32,9.59,1.27
3/6/1987,6.781,7.209,8.34,9.58,1.24
3/9/1987,6.774,7.204,8.36,9.61,1.25
3/10/1987,6.796,7.209,8.36,9.62,1.26
3/11/1987,6.788,7.204,8.37,9.62,1.25
3/12/1987,6.788,7.2,8.37,9.62,1.25
3/13/1987,6.752,7.168,8.36,9.59,1.23
3/16/1987,6.781,7.2,8.35,9.58,1.23
3/17/1987,6.745,7.173,8.36,9.58,1.22
3/18/1987,6.752,7.186,8.35,9.57,1.22
3/19/1987,6.774,7.195,8.36,9.57,1.21
3/20/1987,6.767,7.205,8.36,9.58,1.22
3/23/1987,6.803,7.227,8.36,9.59,1.23
3/24/1987,6.81,7.214,8.36,9.61,1.25
3/25/1987,6.832,7.232,8.36,9.62,1.26
3/26/1987,6.803,7.214,8.34,9.62,1.28
3/27/1987,6.914,7.333,8.37,9.64,1.27
3/30/1987,7.07,7.527,8.45,9.68,1.23
3/31/1987,7.085,7.537,8.47,9.7,1.23
4/1/1987,7.085,7.528,8.52,9.75,1.23
4/2/1987,7.19,7.64,8.54,9.74,1.2
4/3/1987,7.085,7.542,8.54,9.75,1.21
4/6/1987,7.063,7.523,8.53,9.72,1.19
4/7/1987,7.183,7.632,8.53,9.74,1.21
4/8/1987,7.138,7.594,8.52,9.74,1.22
4/9/1987,7.327,7.784,8.59,9.79,1.2
4/10/1987,7.556,7.958,8.63,9.85,1.22
4/13/1987,7.789,8.194,8.72,9.92,1.2
4/14/1987,7.789,8.185,8.83,10.04,1.21
4/15/1987,7.635,8.047,8.88,10.12,1.24
4/16/1987,7.52,7.979,8.85,10.12,1.27
4/20/1987,7.738,8.186,8.94,10.11,1.17
4/21/1987,7.661,8.097,9.05,10.19,1.14
4/22/1987,7.84,8.286,9.05,10.22,1.17
4/23/1987,7.864,8.297,9.11,10.29,1.18
4/24/1987,8.03,8.449,9.18,10.33,1.15
4/27/1987,7.969,8.389,9.24,10.38,1.14
4/28/1987,7.851,8.218,9.26,10.37,1.11
4/29/1987,8.065,8.471,9.21,10.37,1.16
4/30/1987,7.79,8.179,9.17,10.37,1.2
5/1/1987,7.947,8.349,9.15,10.35,1.2
5/4/1987,8.092,8.467,9.21,10.42,1.21
5/5/1987,8.069,8.401,9.2,10.41,1.21
5/6/1987,8.117,8.516,9.2,10.44,1.24
5/7/1987,8.102,8.493,9.23,10.48,1.25
5/8/1987,8.015,8.413,9.21,10.48,1.27
5/11/1987,8.217,8.596,9.21,10.41,1.2
5/12/1987,8.129,8.516,9.23,10.46,1.23
5/13/1987,8.138,8.511,9.25,10.45,1.2
5/14/1987,8.187,8.568,9.24,10.46,1.22
5/15/1987,8.421,8.749,9.31,10.46,1.15
5/18/1987,8.408,8.748,9.39,10.52,1.13
5/19/1987,8.581,8.903,9.45,10.55,1.1
5/20/1987,8.59,8.903,9.51,10.64,1.13
5/21/1987,8.533,8.864,9.57,10.71,1.14
5/22/1987,8.43,8.748,9.54,10.69,1.15
5/26/1987,8.171,8.482,9.43,10.61,1.18
5/27/1987,8.265,8.553,9.39,10.56,1.17
5/28/1987,8.235,8.538,9.39,10.59,1.2
5/29/1987,8.153,8.463,9.4,10.57,1.17
6/1/1987,8.093,8.425,9.36,10.54,1.18
6/2/1987,8.401,8.777,9.41,10.61,1.2
6/3/1987,8.22,8.585,9.38,10.63,1.25
6/4/1987,8.197,8.533,9.38,10.62,1.24
6/5/1987,8.115,8.481,9.36,10.63,1.27
6/8/1987,8.152,8.519,9.36,10.61,1.25
6/9/1987,8.182,8.552,9.39,10.61,1.22
6/10/1987,8.182,8.552,9.37,10.58,1.21
6/11/1987,8.114,8.5,9.37,10.58,1.21
6/12/1987,7.92,8.303,9.33,10.52,1.19
6/15/1987,7.868,8.256,9.32,10.52,1.2
6/16/1987,7.868,8.261,9.31,10.49,1.18
6/17/1987,7.794,8.201,9.27,10.47,1.2
6/18/1987,7.897,8.307,9.29,10.48,1.19
6/19/1987,7.889,8.293,9.29,10.45,1.16
6/22/1987,7.822,8.219,9.24,10.43,1.19
6/23/1987,7.866,8.242,9.25,10.42,1.17
6/24/1987,7.933,8.297,9.25,10.44,1.19
6/25/1987,7.932,8.279,9.25,10.43,1.18
6/26/1987,7.992,8.334,9.25,10.45,1.2
6/29/1987,7.969,8.325,9.3,10.48,1.18
6/30/1987,8.006,8.367,9.33,10.5,1.17
7/1/1987,7.968,8.348,9.34,10.54,1.2
7/2/1987,7.915,8.292,9.33,10.55,1.22
7/6/1987,7.908,8.301,9.3,10.53,1.23
7/7/1987,7.855,8.245,9.3,10.52,1.22
7/8/1987,7.9,8.306,9.32,10.52,1.2
7/9/1987,7.937,8.367,9.32,10.51,1.19
7/10/1987,7.899,8.315,9.33,10.52,1.19
7/13/1987,7.929,8.366,9.34,10.53,1.19
7/14/1987,7.876,8.319,9.36,10.57,1.21
7/15/1987,7.973,8.427,9.38,10.6,1.22
7/16/1987,7.951,8.399,9.36,10.56,1.2
7/17/1987,7.905,8.357,9.38,10.57,1.19
7/20/1987,7.957,8.408,9.38,10.57,1.19
7/21/1987,8.01,8.489,9.41,10.6,1.19
7/22/1987,8.048,8.541,9.47,10.64,1.17
7/23/1987,8.04,8.517,9.5,10.66,1.16
7/24/1987,8.116,8.575,9.52,10.64,1.12
7/27/1987,8.123,8.56,9.54,10.71,1.17
7/28/1987,8.161,8.613,9.54,10.73,1.19
7/29/1987,8.108,8.551,9.57,10.74,1.17
7/30/1987,8.153,8.594,9.57,10.76,1.19
7/31/1987,8.207,8.652,9.57,10.77,1.2
8/3/1987,8.322,8.783,9.64,10.84,1.2
8/4/1987,8.299,8.778,9.63,10.86,1.23
